ID,Label,Timestamp,Bias,Region,emotionLabel,neutral,surprise,joy,fear,sadness,disgust,anger
914383538190999553,1,2017-10-01 00:56:38,EXTREME RIGHT,Others,neutral,0.671914637,0.007559238,0.002088703,0.073347107,0.025340145,0.115283228,0.104467072
914386290694553600,1,2017-10-01 01:07:34,EXTREME RIGHT,Others,disgust,0.028479876,0.001592572,0.002795235,0.0171482,0.026640994,0.681969166,0.241373852
914389395205165057,1,2017-10-01 01:19:55,EXTREME RIGHT,Others,fear,0.079444744,0.025631526,0.015370828,0.77257365,0.024780588,0.009777829,0.072420768
914403715230179328,1,2017-10-01 02:16:49,EXTREME RIGHT,America,fear,0.35653007,0.017310536,0.01212908,0.364253074,0.02116913,0.065521628,0.163086578
914404661217685504,1,2017-10-01 02:20:34,EXTREME RIGHT,Others,fear,0.00642232,0.002898139,0.001132789,0.981220245,0.001551105,0.001095697,0.005679674
914408629285134336,1,2017-10-01 02:36:20,EXTREME RIGHT,Others,neutral,0.529845834,0.10782209,0.011939217,0.213240385,0.006983337,0.018491998,0.111677252
914410713392787456,1,2017-10-01 02:44:37,EXTREME RIGHT,Others,fear,0.001238165,0.000772904,0.000925226,0.98198396,0.001619081,0.000700634,0.012759985
914418842356600832,1,2017-10-01 03:16:55,EXTREME RIGHT,Others,anger,0.005471164,0.000811964,0.003250563,0.033025786,0.005283118,0.021838136,0.93031925
914436129251823616,1,2017-10-01 04:25:37,EXTREME RIGHT,Others,anger,0.000817731,0.000336016,0.000430554,0.002391737,0.002542246,0.00171134,0.991770267
914438103774965760,1,2017-10-01 04:33:28,EXTREME RIGHT,Others,fear,0.005347182,0.00553771,0.001365249,0.971794963,0.007662859,0.000978959,0.00731311
914440700950872064,1,2017-10-01 04:43:47,EXTREME RIGHT,Others,anger,0.067349404,0.009346748,0.001837825,0.068066552,0.009740999,0.079397678,0.764260828
914443353399447552,1,2017-10-01 04:54:19,EXTREME RIGHT,Others,joy,0.011867632,0.012726522,0.931560814,0.005244028,0.029061668,0.000635504,0.008903845
914498178702913538,1,2017-10-01 08:32:11,UNK,Others,neutral,0.757612348,0.057596654,0.014858448,0.003487231,0.135715157,0.002929571,0.027800618
914548420181757952,1,2017-10-01 11:51:49,EXTREME RIGHT,America,surprise,0.024366802,0.831164062,0.023913648,0.087229483,0.009563888,0.001430655,0.022331495
914611293579087873,1,2017-10-01 16:01:39,EXTREME RIGHT,America,fear,0.380030632,0.059326652,0.00860339,0.474223793,0.027871838,0.006407436,0.043536168
914679196156383232,1,2017-10-01 20:31:28,UNK,Others,sadness,0.013802011,0.022614365,0.001548005,0.003078859,0.954151034,0.003065198,0.001740484
914679916796375040,1,2017-10-01 20:34:20,UNK,Others,neutral,0.768062532,0.132813498,0.061980911,0.00578494,0.008673934,0.005964138,0.016720049
914763366727606272,1,2017-10-02 02:05:56,EXTREME RIGHT,America,fear,0.076120369,0.038894139,0.005126418,0.803240299,0.022099869,0.011258543,0.043260328
914790092849500161,1,2017-10-02 03:52:08,EXTREME RIGHT,Others,fear,0.005387831,0.001629882,0.003003042,0.91196245,0.048689041,0.003151061,0.026176702
914812073426784256,1,2017-10-02 05:19:29,EXTREME RIGHT,Others,fear,0.07121814,0.054367915,0.008263279,0.81261158,0.009681826,0.004565927,0.039291412
914815894995525633,1,2017-10-02 05:34:40,EXTREME RIGHT,Others,anger,0.03887729,0.003119505,0.001363232,0.016964553,0.013693562,0.09472058,0.831261396
914829586910806017,0,2017-10-02 06:29:04,EXTREME RIGHT,America,neutral,0.46107769,0.005892346,0.015023806,0.436119318,0.026566377,0.01062736,0.044693254
914829836585242624,0,2017-10-02 06:30:04,LEFT-CENTER,America,fear,0.016435202,0.002064527,0.002024594,0.83372581,0.007999075,0.00373596,0.134014904
914837393441771522,0,2017-10-02 07:00:06,LEFT-CENTER,America,fear,0.021437997,0.004129678,0.003152219,0.885706067,0.0058954,0.00737415,0.072304457
914844946989031426,0,2017-10-02 07:30:07,LEFT-CENTER,America,fear,0.042184789,0.004449921,0.001973321,0.449415207,0.091258377,0.015512714,0.395205706
914866525517041664,1,2017-10-02 08:55:51,EXTREME RIGHT,America,neutral,0.439781874,0.085712589,0.003765031,0.322330654,0.049942125,0.02062683,0.077840894
914866657503383552,1,2017-10-02 08:56:23,EXTREME RIGHT,America,neutral,0.439781874,0.085712589,0.003765031,0.322330654,0.049942125,0.02062683,0.077840894
914866796393631744,1,2017-10-02 08:56:56,EXTREME RIGHT,America,fear,0.338955224,0.063791007,0.010038457,0.513867617,0.027723689,0.005276197,0.040347803
914869850375442433,0,2017-10-02 09:09:04,EXTREME RIGHT,America,fear,0.060073141,0.004443768,0.009932053,0.552463233,0.124871969,0.011252112,0.236963749
914871249922396160,0,2017-10-02 09:14:38,LEFT-CENTER,America,neutral,0.633809268,0.022161284,0.007488966,0.162980109,0.033487611,0.056934733,0.083137996
914871718094700546,0,2017-10-02 09:16:29,LEFT-CENTER,America,fear,0.046943765,0.008316603,0.004045403,0.802200079,0.02120541,0.005538264,0.111750387
914875154647388160,0,2017-10-02 09:30:09,EXTREME RIGHT,America,neutral,0.38168481,0.166440889,0.049587857,0.283961773,0.011073108,0.014932047,0.092319451
